LastLoginDate,CustomerClass,NoRekCustomer ,CustomerName,Country,City,Region,Umur,Category,TipeProduct,TransPerMonth, Balance ,SalaryPerMonth,Kids,Houses,Vehicles
11/9/2011,Gold Class,OFF-ST-10001321,Jeremy Pistek,indonesia,Balikpapan,Region C,78,menikah,Mandiri Consumer Loan,69," 656,621,416 ",23748227,1,0,1
11/9/2011,Gold Class,OFF-PA-10001509,Jeremy Pistek,indonesia,Balikpapan,Region C,21,menikah,Mandiri Deposit,163," 880,943,526 ",187397092,3,1,0
11/9/2011,Gold Class,OFF-PA-10003465,Jeremy Pistek,indonesia,Balikpapan,Region C,38,menikah,Mandiri Deposit,82," 347,865,317 ",140963030,1,0,0
10/20/2011,Gold Class,OFF-ST-10001713,Patrick O'Donnell,indonesia,Bali,Region B,32,menikah,Mandiri Consumer Loan,10," 115,760,242 ",55007340,3,0,1
10/29/2011,Platinum Class,TEC-PH-10001363,Sue Ann Reed,indonesia,Jogyakarta,Region B,41,menikah,Mandiri Deposit,155," 460,468,169 ",164188202,1,1,2
5/13/2011,Gold Class,OFF-ST-10000107,Alejandro Grove,indonesia,Balikpapan,Region C,36,menikah,Mandiri Consumer Loan,50," 756,851,520 ",35156075,2,0,2
12/15/2012,Standard Class,OFF-AP-10002472,Joseph Holt,indonesia,Balikpapan,Region C,22,menikah,Mandiri Deposit,44," 499,513,772 ",35885120,3,0,1
12/15/2012,Standard Class,TEC-AC-10004571,Joseph Holt,indonesia,Balikpapan,Region C,46,menikah,Mandiri Deposit,17," 757,722,153 ",25355666,3,0,0
12/15/2012,Standard Class,OFF-BI-10001098,Joseph Holt,indonesia,Balikpapan,Region C,35,menikah,Mandiri Deposit,45," 414,314,307 ",40660107,2,1,1
9/7/2012,Standard Class,OFF-ST-10003656,Helen Andreada,indonesia,Samarinda,Region C,40,menikah,Mandiri Consumer Loan,32," 28,011,254 ",164479930,3,0,2
4/18/2012,Standard Class,OFF-BI-10004410,Darren Powers,indonesia,Mataram,Region B,42,menikah,Mandiri Deposit,71," 951,708,329 ",187074045,2,1,1
4/18/2012,Standard Class,OFF-LA-10002762,Darren Powers,indonesia,Mataram,Region B,45,menikah,Mandiri Deposit,26," 21,948,837 ",150460526,0,0,1
4/18/2012,Standard Class,FUR-FU-10001706,Darren Powers,indonesia,Mataram,Region B,40,single,Mandiri Deposit,194," 499,673,714 ",69053972,1,0,0
4/18/2012,Standard Class,FUR-CH-10003061,Darren Powers,indonesia,Mataram,Region B,23,single,Mandiri Deposit,70," 947,396,297 ",89411427,2,0,0
12/28/2012,Gold Class,TEC-AC-10003657,Eric Murdock,indonesia,Palembang,Region A,43,single,Mandiri Deposit,121," 871,269,774 ",93296111,0,1,1
6/22/2012,Gold Class,OFF-FA-10000490,Ken Lonsdale,indonesia,Balikpapan,Region C,35,menikah,Mandiri Credit Card,96," 37,494,589 ",159138481,2,1,1
4/28/2012,Standard Class,OFF-AP-10000696,Russell Applegate,indonesia,Semarang,Region B,56,menikah,Mandiri Deposit,193," 327,495,730 ",64333750,1,1,1
4/28/2012,Standard Class,OFF-ST-10003327,Russell Applegate,indonesia,Semarang,Region B,27,menikah,Mandiri Consumer Loan,76," 216,017,844 ",101294362,0,1,1
4/28/2012,Standard Class,OFF-BI-10000309,Russell Applegate,indonesia,Semarang,Region B,73,menikah,Mandiri Deposit,42," 47,608,050 ",88951256,0,1,2
9/26/2012,Standard Class,OFF-PA-10000474,Tracy Blumstein,indonesia,Balikpapan,Region C,55,menikah,Mandiri Deposit,34," 174,296,823 ",30306465,0,1,0
9/26/2012,Standard Class,TEC-AC-10001956,Tracy Blumstein,indonesia,Balikpapan,Region C,48,menikah,Mandiri Deposit,133," 929,462,156 ",37601523,1,0,2
9/26/2012,Standard Class,OFF-PA-10004100,Tracy Blumstein,indonesia,Balikpapan,Region C,22,menikah,Mandiri Deposit,31," 723,814,789 ",57592875,1,0,2
11/24/2012,Standard Class,TEC-AC-10004633,Kunst Miller,indonesia,Balikpapan,Region C,47,menikah,Mandiri Deposit,63," 760,695,155 ",115368437,0,0,0
11/24/2012,Standard Class,OFF-BI-10001078,Kunst Miller,indonesia,Balikpapan,Region C,33,menikah,Mandiri Deposit,190," 545,174,927 ",25119999,0,1,1
11/24/2012,Standard Class,OFF-PA-10003892,Kunst Miller,indonesia,Balikpapan,Region C,60,menikah,Mandiri Deposit,138," 47,634,279 ",15503684,3,0,0
9/1/2012,Gold Class,OFF-BI-10001922,Doug Bickford,indonesia,Balikpapan,Region C,74,menikah,Mandiri Deposit,184," 733,729,091 ",52404001,0,0,2
9/1/2012,Gold Class,TEC-CO-10001449,Doug Bickford,indonesia,Balikpapan,Region C,25,menikah,Mandiri Deposit,97," 842,021,553 ",92777526,3,0,1
9/1/2012,Gold Class,OFF-BI-10004140,Doug Bickford,indonesia,Balikpapan,Region C,74,menikah,Mandiri Deposit,124," 312,687,296 ",72162630,0,0,2
1/31/2012,Gold Class,OFF-PA-10003177,Karl Braun,indonesia,Mataram,Region B,49,menikah,Mandiri Deposit,1," 105,889,343 ",34823121,3,1,0
1/31/2012,Gold Class,FUR-FU-10003799,Karl Braun,indonesia,Mataram,Region B,49,single,Mandiri Deposit,120," 208,356,024 ",33687858,2,1,0
1/31/2012,Gold Class,OFF-BI-10002852,Karl Braun,indonesia,Mataram,Region B,79,menikah,Mandiri Deposit,83," 253,197,374 ",183447936,2,0,2
11/10/2012,Standard Class,TEC-AC-10004469,Alan Hwang,indonesia,Pontianak,Region C,31,menikah,Mandiri Deposit,178," 621,925,256 ",61032458,1,1,1
7/30/2012,Platinum Class,TEC-AC-10003628,Helen Andreada,indonesia,Balikpapan,Region C,29,menikah,Mandiri Deposit,162," 973,675,850 ",15854353,0,0,0
7/30/2012,Platinum Class,OFF-BI-10002557,Helen Andreada,indonesia,Balikpapan,Region C,59,menikah,Mandiri Deposit,74," 657,113,236 ",151717050,0,0,2
12/24/2012,Platinum Class,OFF-FA-10000585,Joni Blumstein,indonesia,Jambi,Region A,47,single,Mandiri Credit Card,12," 47,454,061 ",135050898,2,1,1
12/24/2012,Platinum Class,OFF-PA-10004000,Joni Blumstein,indonesia,Jambi,Region A,63,single,Mandiri Deposit,182," 992,274,162 ",31671475,3,1,2
12/24/2012,Platinum Class,OFF-BI-10002852,Joni Blumstein,indonesia,Jambi,Region A,33,single,Mandiri Deposit,176," 519,087,292 ",188613404,0,1,2
12/24/2012,Platinum Class,FUR-FU-10000087,Joni Blumstein,indonesia,Jambi,Region A,30,menikah,Mandiri Deposit,85," 937,204,702 ",101470457,1,0,0
12/24/2012,Platinum Class,TEC-MA-10001148,Joni Blumstein,indonesia,Jambi,Region A,61,single,Mandiri Saving,95," 324,149,527 ",73666607,1,1,2
12/24/2012,Platinum Class,OFF-AR-10001958,Joni Blumstein,indonesia,Jambi,Region A,42,single,Mandiri Deposit,38," 686,320,502 ",159919799,2,0,2
6/13/2013,Platinum Class,FUR-FU-10002157,Steven Cartwright,indonesia,Jambi,Region A,60,menikah,Mandiri Deposit,31," 795,532,769 ",43638933,2,1,1
6/13/2013,Platinum Class,OFF-BI-10003910,Steven Cartwright,indonesia,Jambi,Region A,76,single,Mandiri Deposit,125," 965,757,929 ",173332573,2,1,2
6/13/2013,Platinum Class,OFF-ST-10000777,Steven Cartwright,indonesia,Jambi,Region A,33,single,Mandiri Consumer Loan,10," 172,827,291 ",29426467,0,1,0
6/13/2013,Platinum Class,OFF-EN-10002500,Steven Cartwright,indonesia,Jambi,Region A,23,single,Mandiri Deposit,27," 910,053,805 ",147143572,0,0,0
6/13/2013,Platinum Class,TEC-PH-10003875,Steven Cartwright,indonesia,Jambi,Region A,53,single,Mandiri Deposit,50," 707,640,076 ",25331917,2,1,0
11/29/2013,Standard Class,OFF-BI-10001890,Sally Knutson,indonesia,Bandar Lampung,Region A,62,single,Mandiri Deposit,1," 974,099,999 ",148088405,3,0,0
9/19/2013,Standard Class,OFF-BI-10004654,Henry MacAllister,indonesia,Padang,Region A,33,single,Mandiri Deposit,5," 393,750,977 ",192359305,1,0,1
9/9/2013,Gold Class,OFF-ST-10001580,Anna Gayman,indonesia,Semarang,Region B,75,menikah,Mandiri Consumer Loan,41," 873,386,740 ",13411984,3,0,0
9/9/2013,Gold Class,FUR-BO-10004834,Anna Gayman,indonesia,Semarang,Region B,75,single,Mandiri Deposit,110," 96,739,767 ",192472727,3,0,1
9/9/2013,Gold Class,OFF-ST-10000934,Anna Gayman,indonesia,Semarang,Region B,78,menikah,Mandiri Consumer Loan,193," 620,506,557 ",6930895,1,0,2
9/9/2013,Gold Class,TEC-AC-10000158,Anna Gayman,indonesia,Semarang,Region B,58,menikah,Mandiri Deposit,175," 764,640,631 ",123858902,2,0,2
1/22/2013,Standard Class,OFF-FA-10003472,Paul Gonzalez,indonesia,Padang,Region A,42,single,Mandiri Credit Card,95," 625,283,093 ",114027870,3,0,0
6/18/2013,Platinum Class,OFF-ST-10000604,Ted Butterfield,indonesia,Pekanbaru,Region A,24,single,Mandiri Consumer Loan,166," 899,232,320 ",60141408,1,0,2
6/18/2013,Platinum Class,OFF-PA-10001569,Ted Butterfield,indonesia,Pekanbaru,Region A,73,single,Mandiri Deposit,120," 194,713,495 ",185050380,0,1,2
6/18/2013,Platinum Class,FUR-CH-10003968,Ted Butterfield,indonesia,Pekanbaru,Region A,62,menikah,Mandiri Deposit,91," 449,627,118 ",191841162,0,0,2
6/18/2013,Platinum Class,OFF-PA-10000587,Ted Butterfield,indonesia,Pekanbaru,Region A,48,single,Mandiri Deposit,9," 217,030,643 ",104649632,0,1,0
6/18/2013,Platinum Class,TEC-AC-10002167,Ted Butterfield,indonesia,Pekanbaru,Region A,56,single,Mandiri Deposit,163," 590,425,384 ",90864114,0,1,2
6/18/2013,Platinum Class,OFF-BI-10001460,Ted Butterfield,indonesia,Pekanbaru,Region A,78,single,Mandiri Deposit,133," 909,407,014 ",141223304,0,1,2
6/18/2013,Platinum Class,OFF-AR-10001868,Ted Butterfield,indonesia,Pekanbaru,Region A,68,single,Mandiri Deposit,151," 865,924,207 ",12531063,3,0,0
11/8/2013,Standard Class,OFF-BI-10004002,Max Jones,indonesia,Balikpapan,Region C,51,menikah,Mandiri Deposit,6," 981,943,063 ",111449539,1,0,1
11/21/2013,Standard Class,OFF-LA-10002475,Nora Paige,indonesia,Mataram,Region B,55,menikah,Mandiri Deposit,116," 87,136,826 ",16957460,1,1,0
11/21/2013,Standard Class,TEC-PH-10004536,Nora Paige,indonesia,Mataram,Region B,52,menikah,Mandiri Deposit,167," 848,502,884 ",137501256,0,0,1
9/6/2013,Gold Class,FUR-FU-10000246,Pete Kriz,indonesia,Surabaya,Region B,50,single,Mandiri Deposit,184," 874,138,013 ",36736882,0,1,1
9/6/2013,Gold Class,OFF-ST-10000060,Pete Kriz,indonesia,Surabaya,Region B,25,menikah,Mandiri Consumer Loan,87," 758,741,326 ",12060065,1,0,2
9/6/2013,Gold Class,OFF-ST-10003058,Pete Kriz,indonesia,Surabaya,Region B,24,menikah,Mandiri Consumer Loan,40," 682,310,915 ",179484034,1,0,0
9/6/2013,Gold Class,OFF-PA-10002222,Pete Kriz,indonesia,Surabaya,Region B,39,menikah,Mandiri Deposit,170," 725,658,222 ",120250966,2,0,1
9/6/2013,Gold Class,FUR-CH-10002372,Pete Kriz,indonesia,Surabaya,Region B,48,single,Mandiri Deposit,4," 153,424,718 ",128894054,2,1,1
9/6/2013,Gold Class,OFF-LA-10001317,Pete Kriz,indonesia,Surabaya,Region B,45,menikah,Mandiri Deposit,66," 380,161,985 ",65908569,0,0,1
1/16/2013,Gold Class,OFF-BI-10001634,Eric Hoffmann,indonesia,Balikpapan,Region C,76,menikah,Mandiri Deposit,192," 260,921,773 ",186130912,1,1,2
1/16/2013,Gold Class,TEC-AC-10003027,Eric Hoffmann,indonesia,Balikpapan,Region C,68,menikah,Mandiri Deposit,22," 666,815,797 ",154883005,1,0,1
6/7/2013,Standard Class,TEC-PH-10001433,Roy Collins,indonesia,Jogyakarta,Region B,45,menikah,Mandiri Deposit,136," 105,785,871 ",89201430,0,0,0
6/7/2013,Platinum Class,OFF-ST-10003306,Dave Brooks,indonesia,Padang,Region A,62,single,Mandiri Consumer Loan,84," 365,766,831 ",21344857,2,0,2
11/4/2013,Standard Class,OFF-AR-10000380,Clay Ludtke,indonesia,Semarang,Region B,51,menikah,Mandiri Deposit,130," 533,143,021 ",183357823,3,0,0
11/4/2013,Standard Class,OFF-BI-10003981,Clay Ludtke,indonesia,Semarang,Region B,22,menikah,Mandiri Deposit,33," 94,860,827 ",53278312,0,1,1
12/2/2013,Gold Class,OFF-PA-10004040,Gary Zandusky,indonesia,jakarta,Region B,59,menikah,Mandiri Deposit,114," 124,013,255 ",186222148,3,1,2
10/29/2013,Standard Class,OFF-ST-10001328,Jonathan Howell,indonesia,Balikpapan,Region C,26,menikah,Mandiri Consumer Loan,100," 303,410,396 ",20398344,2,0,2
10/29/2013,Standard Class,TEC-PH-10002563,Jonathan Howell,indonesia,Balikpapan,Region C,29,menikah,Mandiri Deposit,186," 352,920,248 ",20048634,3,0,1
4/9/2013,Standard Class,FUR-BO-10002268,Jeremy Lonsdale,indonesia,Padang,Region A,70,menikah,Mandiri Deposit,24," 688,999,373 ",61920360,0,0,2
4/9/2013,Standard Class,OFF-EN-10001137,Jeremy Lonsdale,indonesia,Padang,Region A,31,single,Mandiri Deposit,178," 768,720,316 ",97306787,2,1,0
4/9/2013,Standard Class,OFF-AR-10002399,Jeremy Lonsdale,indonesia,Padang,Region A,76,single,Mandiri Deposit,159," 565,412,451 ",8682848,1,1,1
4/9/2013,Standard Class,OFF-PA-10002713,Jeremy Lonsdale,indonesia,Padang,Region A,32,single,Mandiri Deposit,11," 692,159,680 ",49586576,1,1,2
10/14/2013,Standard Class,OFF-PA-10001804,Lena Creighton,indonesia,Balikpapan,Region C,79,menikah,Mandiri Deposit,13," 831,533,450 ",143492763,3,1,0
10/14/2013,Standard Class,OFF-PA-10001736,Lena Creighton,indonesia,Balikpapan,Region C,46,menikah,Mandiri Deposit,137," 327,114,575 ",158080698,3,1,0
10/14/2013,Standard Class,OFF-AR-10001149,Lena Creighton,indonesia,Balikpapan,Region C,53,menikah,Mandiri Deposit,85," 876,767,883 ",185484686,3,0,2
10/14/2013,Standard Class,OFF-FA-10002988,Lena Creighton,indonesia,Balikpapan,Region C,38,menikah,Mandiri Credit Card,167," 251,153,388 ",135406770,3,0,1
10/14/2013,Standard Class,OFF-BI-10004781,Lena Creighton,indonesia,Balikpapan,Region C,66,menikah,Mandiri Deposit,36," 658,369,029 ",125977221,0,1,1
10/14/2013,Standard Class,OFF-SU-10001218,Lena Creighton,indonesia,Balikpapan,Region C,53,menikah,Mandiri Deposit,130," 882,558,315 ",19312398,0,1,1
9/12/2013,Standard Class,OFF-PA-10004569,Kelly Collister,indonesia,Balikpapan,Region C,33,menikah,Mandiri Deposit,17," 143,477,548 ",65941871,1,0,1
9/12/2013,Standard Class,TEC-AC-10003832,Kelly Collister,indonesia,Balikpapan,Region C,68,menikah,Mandiri Deposit,124," 202,271,766 ",102070543,3,0,2
12/11/2013,Platinum Class,OFF-ST-10001228,Delfina Latchford,indonesia,Padang,Region A,24,single,Mandiri Consumer Loan,35," 187,781,639 ",98799222,0,0,0
12/11/2013,Platinum Class,OFF-EN-10003296,Delfina Latchford,indonesia,Padang,Region A,67,single,Mandiri Deposit,17," 988,871,274 ",54713662,1,0,2
11/9/2013,Gold Class,FUR-BO-10001798,Claire Gute,indonesia,Makasar,Region D,23,menikah,Mandiri Deposit,123," 748,558,791 ",52062279,1,1,0
11/9/2013,Gold Class,FUR-CH-10000454,Claire Gute,indonesia,Makasar,Region D,58,menikah,Mandiri Deposit,179," 773,004,399 ",30238632,2,1,1
10/28/2013,Standard Class,FUR-FU-10002671,Jeremy Ellison,indonesia,Pekanbaru,Region A,35,menikah,Mandiri Deposit,112," 980,560,667 ",182026410,1,0,0
11/17/2013,Standard Class,OFF-EN-10001990,Ruben Dartt,indonesia,Pontianak,Region C,56,menikah,Mandiri Deposit,146," 94,058,271 ",48058259,2,0,2
6/5/2013,Gold Class,OFF-PA-10003349,Ken Lonsdale,indonesia,Jogyakarta,Region B,22,menikah,Mandiri Deposit,83," 732,866,932 ",48540356,3,0,1
6/5/2013,Gold Class,FUR-FU-10000576,Ken Lonsdale,indonesia,Jogyakarta,Region B,49,single,Mandiri Deposit,36," 677,007,668 ",145844528,3,1,2
6/5/2013,Gold Class,FUR-FU-10004351,Ken Lonsdale,indonesia,Jogyakarta,Region B,71,single,Mandiri Deposit,2," 29,002,457 ",97627591,0,1,0
6/5/2013,Gold Class,TEC-PH-10000011,Ken Lonsdale,indonesia,Jogyakarta,Region B,24,menikah,Mandiri Deposit,99," 89,088,224 ",174147108,2,1,0
6/5/2013,Gold Class,FUR-TA-10002607,Ken Lonsdale,indonesia,Jogyakarta,Region B,59,single,Investment and Bank Insurance,15," 902,260,835 ",37782749,1,1,0
6/5/2013,Gold Class,FUR-FU-10002505,Ken Lonsdale,indonesia,Jogyakarta,Region B,59,single,Mandiri Deposit,56," 674,273,779 ",117284660,0,1,1
6/5/2013,Gold Class,OFF-AR-10004685,Ken Lonsdale,indonesia,Jogyakarta,Region B,45,menikah,Mandiri Deposit,56," 661,498,893 ",118803199,1,0,1
12/6/2013,Standard Class,OFF-BI-10003656,Irene Maddox,indonesia,Balikpapan,Region C,60,menikah,Mandiri Deposit,79," 802,575,649 ",16682128,3,1,0
5/12/2013,Platinum Class,OFF-PA-10002751,Ted Trevino,indonesia,Balikpapan,Region C,34,menikah,Mandiri Deposit,128," 868,541,744 ",22327323,3,1,1
4/2/2013,Gold Class,OFF-AR-10000588,Raymond Buch,indonesia,Banda Aceh,Region A,40,single,Mandiri Deposit,103," 579,584,095 ",68219448,3,1,2
4/2/2013,Gold Class,OFF-ST-10001469,Raymond Buch,indonesia,Banda Aceh,Region A,52,single,Mandiri Consumer Loan,73," 484,396,753 ",147646279,0,0,2
4/2/2013,Gold Class,OFF-AR-10001953,Raymond Buch,indonesia,Banda Aceh,Region A,20,single,Mandiri Deposit,108," 568,249,422 ",74570213,1,1,0
4/2/2013,Gold Class,OFF-AR-10003156,Raymond Buch,indonesia,Banda Aceh,Region A,23,single,Mandiri Deposit,180," 790,264,960 ",48874533,2,0,0
4/2/2013,Gold Class,OFF-AR-10004974,Raymond Buch,indonesia,Banda Aceh,Region A,60,single,Mandiri Deposit,107," 214,095,410 ",191650599,1,0,1
4/2/2013,Gold Class,TEC-PH-10002365,Raymond Buch,indonesia,Banda Aceh,Region A,34,single,Mandiri Deposit,44," 83,839,072 ",7707706,1,1,2
5/10/2013,Standard Class,TEC-AC-10000991,Sonia Sunley,indonesia,Balikpapan,Region C,45,menikah,Mandiri Deposit,118," 712,835,900 ",185664177,1,1,2
6/21/2013,Standard Class,TEC-AC-10002167,Lena Hernandez,indonesia,Jambi,Region A,59,single,Mandiri Deposit,115," 534,864,350 ",120632588,0,0,2
6/21/2013,Standard Class,TEC-PH-10003988,Lena Hernandez,indonesia,Jambi,Region A,44,single,Mandiri Deposit,184," 139,417,122 ",161911752,0,0,0
12/12/2014,Standard Class,OFF-BI-10000050,Mike Vittorini,indonesia,Padang,Region A,21,single,Mandiri Deposit,170," 957,957,658 ",9468759,3,0,1
12/12/2014,Standard Class,TEC-AC-10001998,Mike Vittorini,indonesia,Padang,Region A,79,single,Mandiri Deposit,79," 905,022,574 ",28651574,2,0,1
5/30/2014,Standard Class,OFF-PA-10002036,Guy Thornton,indonesia,Semarang,Region B,36,menikah,Mandiri Deposit,35," 73,441,176 ",172690141,2,1,1
5/30/2014,Standard Class,OFF-ST-10002205,Guy Thornton,indonesia,Semarang,Region B,77,menikah,Mandiri Consumer Loan,118," 303,144,402 ",19188027,3,1,1
6/25/2014,Standard Class,OFF-PA-10002666,Maria Bertelson,indonesia,Banda Aceh,Region A,23,single,Mandiri Deposit,28," 931,235,064 ",16836261,1,1,0
12/10/2014,Standard Class,TEC-PH-10001918,Laurel Elliston,indonesia,Balikpapan,Region C,20,menikah,Mandiri Deposit,124," 372,886,555 ",89357140,0,1,0
9/15/2014,Gold Class,OFF-PA-10004675,Tracy Blumstein,indonesia,Bandung,Region B,77,menikah,Mandiri Deposit,111," 608,830,177 ",31014044,3,1,1
12/9/2014,Standard Class,TEC-AC-10000158,Keith Herrera,indonesia,Balikpapan,Region C,43,menikah,Mandiri Deposit,189," 664,528,182 ",72360277,0,1,0
12/9/2014,Standard Class,TEC-CO-10004115,Keith Herrera,indonesia,Balikpapan,Region C,24,menikah,Mandiri Deposit,190," 272,801,807 ",90805823,3,0,0
12/9/2014,Standard Class,OFF-PA-10003724,Keith Herrera,indonesia,Balikpapan,Region C,43,menikah,Mandiri Deposit,197," 571,428,274 ",160104866,0,0,1
12/9/2014,Standard Class,OFF-PA-10002893,Keith Herrera,indonesia,Balikpapan,Region C,69,menikah,Mandiri Deposit,189," 778,164,124 ",148808650,3,0,2
12/9/2014,Standard Class,OFF-LA-10003766,Keith Herrera,indonesia,Balikpapan,Region C,37,menikah,Mandiri Deposit,198," 682,824,630 ",147676531,2,1,1
12/9/2014,Standard Class,OFF-PA-10001970,Keith Herrera,indonesia,Balikpapan,Region C,36,menikah,Mandiri Deposit,151," 358,228,705 ",180241357,0,1,0
